,ambulancer,bikedir,bikeinjury,bikepos,crashgrp,crashloc,crashtype,development,drvrinjury,recordid,geocodio_AddressNumber,geocodio_Street,point_score
692,5,0,2,0.0,0,0,0,5,1,993be9be68f1e84d7bca44f4810f2440d77ab9d1,1202.0,Central Ave,13.0
693,5,3,2,5.0,4,3,5,5,1,016d15a2f29dd84077d0e08875e69121c5905ba4,8319.0,Providence Rd,33.0
694,0,3,3,2.5,2,1,2,4,1,c7e2e572c89086f711fae56e2bd3ab8f4a4c4554,11801.0,Old Timber Rd,18.5
695,5,5,2,0.0,1,3,2,5,1,bb76f524a8f0495fe35fb7c8ca38fe4236427d4b,530.0,N Tryon St,24.0
696,0,3,3,5.0,2,1,2,4,1,eb7e09793048b422563ed903f014b9c1513d1afb,3208.0,Rozzelles Ferry Rd,21.0
697,0,0,2,0.0,1,1,2,4,1,a847d7ceea5880f6b22c209ffc67d48ed37c35f7,532.0,Hartford Ave,11.0
698,5,0,3,5.0,1,1,2,4,1,b630325e6ac956662160504ac8681a0323ef0cf3,8614.0,Albemarle Rd,22.0
699,0,3,3,5.0,0,3,0,4,1,3b11b61d13e32f13764e5d6fcf72f28a82d0d9c8,4316.0,Hamilton Crk,19.0
700,0,3,2,5.0,2,1,2,4,1,afae397c5c16cf2acb9f98e6eac8cae55de95abb,8530.0,Browne Rd,20.0
701,5,5,3,0.0,1,3,2,5,1,9e7b3ed473dd13b0bec6861ae90a987cc50b0ae2,246.0,E Woodlawn Rd,25.0
702,0,3,3,2.5,2,1,2,4,0,eef510c87e270ab0c31b7d6e831dccabb8796af9,610.0,Remount Rd,17.5
703,0,5,3,5.0,2,1,3,4,1,776c9239c118996a1c53ca836a059548f794ab5f,9897.0,Park Rd,24.0
704,5,5,3,0.0,2,1,2,5,1,1a5def57c1f8185626d143b540a0edc90ac3660d,581.0,E 7th St,24.0
705,0,5,1,0.0,1,3,2,4,0,ccddd3c3e1584c79f3f5d77a8d10d327a5d93f13,5907.0,Quail Hollow Rd,16.0
706,5,3,5,2.5,4,3,4,4,1,8e02c664b361c4d8fe0790ba71670bdb52d86118,9320.0,Idlewild Rd,31.5
707,5,3,3,0.0,1,1,2,4,1,312c1f7645e22ee195e92e3428beefc9efe0c73d,359.0,W Tyvola Rd,20.0
708,0,5,1,0.0,2,1,2,5,1,6d0764d6ad22e4cd746adbd983da4d1a18c94c59,1527.0,E 4th St,17.0
709,0,3,3,5.0,0,3,0,4,1,59fbb2f45134d327d798f25ca419435e9d7e5fe7,8001.0,Statesville Rd,19.0
710,5,0,3,0.0,0,0,0,5,1,ea4dcdd28e61fa213d819144ee5886ab76207c2b,2801.0,N I - 85 Svc Rd,14.0
711,0,3,3,5.0,2,1,2,4,1,36de41887949e46040943eebb90c7e4f95672b01,1363.0,Queens Rd,21.0
712,0,3,0,5.0,2,1,2,5,0,f4f1d60e69dd8b421315d05c0d551a9655a7a1b0,1200.0,The Plz,18.0
713,5,3,4,5.0,4,3,0,5,1,56f4b33d4b35bd27c086940d33bf89906ee9025c,2639.0,Wilkinson Bv,30.0
714,5,3,3,5.0,2,1,2,4,1,961577b2f518d964abaf5f5c4811db13b7833a28,2925.0,Virginia Ave,26.0
715,5,5,2,2.5,1,3,2,5,1,ec4cd010af2ac6ddde5bc6489893f21699bac081,504.0,E Trade St,26.5
716,0,3,2,5.0,0,1,0,4,1,33fb9b6b3dee061ba8bcfacb9a4a69ccd636e5db,7501.0,Plott Rd,16.0
717,5,3,3,0.0,1,1,2,5,1,d4bbe8901926bac7a9de3697e8bf199257c576b7,6059.0,Williams Rd,21.0
718,5,3,3,5.0,2,1,2,5,1,19a141c433ed5410a902d5d98a2eee15740922db,1053.0,S Kings Dr,27.0
719,5,3,3,5.0,2,1,2,5,1,ac6c673662a29391d0feb64e1617789b9fde6f0b,2100.0,Beatties Ford Rd,27.0
720,0,3,2,5.0,1,1,2,5,1,678235671ae6817a2817ce0c757e970e4e375d79,1800.0,Commonwealth Ave,20.0
721,0,3,2,0.0,1,3,2,5,1,1b564189a55969c5c6d6a22b33f80cab2dcbe97a,1335.0,Alleghany St,17.0
722,5,5,3,0.0,1,3,2,5,1,4927fc556ac6815fb768ea347fd7944788911172,9636.0,Monroe Rd,25.0
723,0,5,3,0.0,2,1,2,5,1,57748ef1fb8b78f1ef6ae87ee9b636ec02d44365,914.0,E 4th St,19.0
724,0,3,3,5.0,4,1,4,0,0,cbe9741662fb02001d30f1689cd2097296a537f3,8505.0,Reames Rd,20.0
