,streetname,startstreet,endstreet
851,Sharon Rd,2500,3000
852,Sharon Rd W,2000,2500
853,Sharon Rd W,2500,3000
854,Shenandoah Ave,2000,2500
855,Shenandoah Ave,2500,3000
856,Shenandoah Ave,3000,3500
857,Shenandoah Ave,3500,4000
858,Singletree Rd,4000,4500
859,Singletree Rd,4500,5000
860,Sir Barton Ct,7000,7500
861,Sir Barton Ct,7500,8000
862,Sky Haven Dr,3000,3500
863,Sky Haven Dr,3500,4000
864,Skyland Ave,100,600
865,Skyland Ave,600,1100
866,South Blvd,1000,1500
867,South Blvd,1500,2000
868,South Blvd,2000,2500
869,South Blvd,2500,3000
870,South Blvd,3000,3500
871,South Blvd,3500,4000
872,South Blvd,4000,4500
873,South Blvd,4500,5000
874,South Blvd,5000,5500
875,South Blvd,5500,6000
876,South Blvd,6000,6500
877,South Blvd,6500,7000
878,South Blvd,7000,7500
879,South Blvd,7500,8000
880,South Blvd,8000,8500
881,South Blvd,8500,9000
882,Split Oak Dr,5000,5500
883,Split Oak Dr,5500,6000
884,State Hwy 27,6000,6500
885,State Hwy 27,6500,7000
886,State Rd 2828,4000,4500
887,State Rd 2828,4500,5000
888,Statesville Ave,3000,3500
889,Statesville Ave,3500,4000
890,Statesville Rd,4000,4500
891,Statesville Rd,4500,5000
892,Statesville Rd,5000,5500
893,Statesville Rd,5500,6000
894,Statesville Rd,6000,6500
895,Statesville Rd,6500,7000
896,Statesville Rd,7000,7500
897,Statesville Rd,7500,8000
898,Statesville Rd,8000,8500
899,Statesville Rd,8500,9000
900,Steele Creek Rd,9000,9500
901,Steele Creek Rd,9500,10000
902,Steele Creek Rd,10000,10500
903,Steele Creek Rd,10500,11000
904,Steele Creek Rd,11000,11500
905,Steele Creek Rd,11500,12000
906,Steele Creek Rd,12000,12500
907,Steele Creek Rd,12500,13000
908,Steele Creek Rd,13000,13500
909,Steele Creek Rd,13500,14000
910,Steele Creek Rd,14000,14500
911,Steele Creek Rd,14500,15000
912,Steele Creek Rd,15000,15500
913,Steele Creek Rd,15500,16000
914,Stonehurst Dr,8000,8500
915,Stonehurst Dr,8500,9000
916,Sulkirk Rd,3000,3500
917,Sulkirk Rd,3500,4000
918,Summertime Dr,2000,2500
919,Summertime Dr,2500,3000
920,Sunset Rd,4000,4500
921,Sunset Rd,4500,5000
922,Tara Ln,1000,1500
923,Tara Ln,1500,2000
924,Telscombe Ct,10000,10500
925,Telscombe Ct,10500,11000
926,The Plz,1000,1500
927,The Plz,1500,2000
928,The Plz,2000,2500
929,The Plz,2500,3000
930,The Plz,3000,3500
931,The Plz,3500,4000
932,The Plz,4000,4500
933,The Plz,4500,5000
934,The Plz,5000,5500
935,The Plz,5500,6000
936,The Plz,6000,6500
937,The Plz,6500,7000
938,Tom Hunter Rd,100,600
939,Tom Hunter Rd,600,1100
940,Tom Short Rd,12000,12500
941,Tom Short Rd,12500,13000
942,Toomey Ave,2000,2500
943,Toomey Ave,2500,3000
944,Township Rd,2000,2500
945,Township Rd,2500,3000
946,Tuckaseegee Rd,2000,2500
947,Tuckaseegee Rd,2500,3000
948,Tuckaseegee Rd,3000,3500
949,Tuckaseegee Rd,3500,4000
950,Tuckaseegee Rd,4000,4500
951,Tuckaseegee Rd,4500,5000
952,Tynwald Ln,5000,5500
953,Tynwald Ln,5500,6000
954,Tyvola Rd,100,600
955,Tyvola Rd,600,1100
956,Tyvola Rd,1100,1600
957,Tyvola Rd,1600,2100
958,University City Blvd,8000,8500
959,University City Blvd,8500,9000
960,University City Blvd,9000,9500
961,University City Blvd,9500,10000
962,University City Blvd,10000,10500
963,University City Blvd,10500,11000
964,University City Bv,8000,8500
965,University City Bv,8500,9000
966,University City Bv,9000,9500
967,University City Bv,9500,10000
968,Uxbridge Woods Ct,3000,3500
969,Uxbridge Woods Ct,3500,4000
970,Valleydale Rd,100,600
971,Valleydale Rd,600,1100
972,Virginia Ave,2000,2500
973,Virginia Ave,2500,3000
974,W 24th St,100,600
975,W 24th St,600,1100
976,W 3rd St,100,600
977,W 3rd St,600,1100
978,W 5th St,100,600
979,W 5th St,600,1100
980,W 7th St,100,600
981,W 7th St,600,1100
982,W Arrowood Rd,2000,2500
983,W Arrowood Rd,2500,3000
984,W Bv,100,600
985,W Bv,600,1100
986,W Bv,1100,1600
987,W Bv,1600,2100
988,W Bv,2100,2600
989,W Bv,2600,3100
990,W Bv,3100,3600
991,W Bv,3600,4100
992,W Craighead Rd,100,600
993,W Craighead Rd,600,1100
994,W Mallard Creek Church Rd,2000,2500
995,W Mallard Creek Church Rd,2500,3000
996,W Mallard Crk,2000,2500
997,W Mallard Crk,2500,3000
998,W Morehead St,1000,1500
999,W Morehead St,1500,2000
1000,W Stonewall St,100,600
1001,W Stonewall St,600,1100
1002,W Sugar Creek Rd,1000,1500
1003,W Sugar Creek Rd,1500,2000
1004,W Sugar Creek Rd,2000,2500
1005,W Sugar Creek Rd,2500,3000
1006,W Trade St,100,600
1007,W Trade St,600,1100
1008,W Tyvola Rd,100,600
1009,W Tyvola Rd,600,1100
1010,W Tyvola Rd,1100,1600
1011,W Tyvola Rd,1600,2100
1012,W Tyvola Rd,2100,2600
1013,W Tyvola Rd,2600,3100
1014,W Tyvola Rd,3100,3600
1015,W Tyvola Rd,3600,4100
1016,W Tyvola Rd,4100,4600
1017,W Tyvola Rd,4600,5100
1018,W W T Harris Bv,6000,6500
1019,W W T Harris Bv,6500,7000
1020,W Woodlawn Rd,100,600
1021,W Woodlawn Rd,600,1100
1022,Walden Station Dr,100,600
1023,Walden Station Dr,600,1100
1024,Wembley Dr,1000,1500
1025,Wembley Dr,1500,2000
1026,West Blvd,1000,1500
1027,West Blvd,1500,2000
1028,West Blvd,2000,2500
1029,West Blvd,2500,3000
1030,Westfield Rd,3000,3500
1031,Westfield Rd,3500,4000
1032,Westinghouse Bv,2000,2500
1033,Westinghouse Bv,2500,3000
1034,Weston St,3000,3500
1035,Weston St,3500,4000
1036,Whistlestop Rd,7000,7500
1037,Whistlestop Rd,7500,8000
1038,Whiting Ave,2000,2500
1039,Whiting Ave,2500,3000
1040,Whiting Ave,3000,3500
1041,Whiting Ave,3500,4000
1042,Wilkinson Blvd,2000,2500
1043,Wilkinson Blvd,2500,3000
1044,Wilkinson Blvd,3000,3500
1045,Wilkinson Blvd,3500,4000
1046,Wilkinson Blvd,4000,4500
1047,Wilkinson Blvd,4500,5000
1048,Wilkinson Blvd,5000,5500
1049,Wilkinson Blvd,5500,6000
1050,Wilkinson Blvd,6000,6500
1051,Wilkinson Blvd,6500,7000
1052,Wilkinson Blvd,7000,7500
1053,Wilkinson Blvd,7500,8000
1054,Wilkinson Blvd,8000,8500
1055,Wilkinson Blvd,8500,9000
1056,Wilkinson Bv,2000,2500
1057,Wilkinson Bv,2500,3000
1058,Wilkinson Bv,3000,3500
1059,Wilkinson Bv,3500,4000
1060,Wilkinson Bv,4000,4500
1061,Wilkinson Bv,4500,5000
1062,William Reynolds Dr,7000,7500
1063,William Reynolds Dr,7500,8000
1064,Williams Rd,6000,6500
1065,Williams Rd,6500,7000
1066,Willow Run Rd,10000,10500
1067,Willow Run Rd,10500,11000
1068,Wilson Grove Rd,6000,6500
1069,Wilson Grove Rd,6500,7000
1070,Wilson Grove Rd,7000,7500
1071,Wilson Grove Rd,7500,8000
1072,Windsor Crescent Ct,2000,2500
1073,Windsor Crescent Ct,2500,3000
1074,Windsor Gate Ln,6000,6500
1075,Windsor Gate Ln,6500,7000
1076,Woodbend Dr,6000,6500
1077,Woodbend Dr,6500,7000
1078,Wynbrook Way,4000,4500
1079,Wynbrook Way,4500,5000
1080,Yale Pl,1000,1500
1081,Yale Pl,1500,2000
1082,Yateswood Dr,6000,6500
1083,Yateswood Dr,6500,7000
1084,York Rd,16000,16500
1085,York Rd,16500,17000
1086,Youngblood Rd,14000,14500
1087,Youngblood Rd,14500,15000
1088,Youngblood Rd,15000,15500
1089,Youngblood Rd,15500,16000
