,streetname,startstreet,endstreet
193,E 18th St,1600,2100
194,E 20th St,100,600
195,E 20th St,600,1100
196,E 4th St,100,600
197,E 4th St,600,1100
198,E 4th St,1100,1600
199,E 4th St,1600,2100
200,E 7th St,100,600
201,E 7th St,600,1100
202,E 7th St,1100,1600
203,E 7th St,1600,2100
204,E 7th St,2100,2600
205,E 7th St,2600,3100
206,E 8th St,100,600
207,E 8th St,600,1100
208,E Arrowood Rd,100,600
209,E Arrowood Rd,600,1100
210,E Bv,1000,1500
211,E Bv,1500,2000
212,E Independence Blvd,5000,5500
213,E Independence Blvd,5500,6000
214,E Independence Blvd,6000,6500
215,E Independence Blvd,6500,7000
216,E Independence Blvd,7000,7500
217,E Independence Blvd,7500,8000
218,E Independence Bv,6000,6500
219,E Independence Bv,6500,7000
220,E Independence Bv,7000,7500
221,E Independence Bv,7500,8000
222,E Independence Bv,8000,8500
223,E Independence Bv,8500,9000
224,E Kingston Ave,100,600
225,E Kingston Ave,600,1100
226,E Martin Luther King Jr Blvd,100,600
227,E Martin Luther King Jr Blvd,600,1100
228,E Sugar Creek Rd,100,600
229,E Sugar Creek Rd,600,1100
230,E Trade St,100,600
231,E Trade St,600,1100
232,E Tremont Ave,100,600
233,E Tremont Ave,600,1100
234,E W T Harris Blvd,6000,6500
235,E W T Harris Blvd,6500,7000
236,E W T Harris Blvd,7000,7500
237,E W T Harris Blvd,7500,8000
238,E W T Harris Blvd,8000,8500
239,E W T Harris Blvd,8500,9000
240,E W T Harris Bv,6000,6500
241,E W T Harris Bv,6500,7000
242,E W T Harris Bv,7000,7500
243,E W T Harris Bv,7500,8000
244,E W T Harris Bv,8000,8500
245,E W T Harris Bv,8500,9000
246,E Woodlawn Rd,100,600
247,E Woodlawn Rd,600,1100
248,E Woodlawn Rd,1100,1600
249,E Woodlawn Rd,1600,2100
250,East Blvd,100,600
251,East Blvd,600,1100
252,East Blvd,1100,1600
253,East Blvd,1600,2100
254,Eastcrest Dr,1000,1500
255,Eastcrest Dr,1500,2000
256,Eastover Ridge Dr,3000,3500
257,Eastover Ridge Dr,3500,4000
258,Eastway Dr,100,600
259,Eastway Dr,600,1100
260,Eastway Dr,1100,1600
261,Eastway Dr,1600,2100
262,Eastway Dr,2100,2600
263,Eastway Dr,2600,3100
264,Eastway Dr,3100,3600
265,Eastway Dr,3600,4100
266,Eleanor Dr,4000,4500
267,Eleanor Dr,4500,5000
268,Elgywood Ln,6000,6500
269,Elgywood Ln,6500,7000
270,Elizabeth Ave,1000,1500
271,Elizabeth Ave,1500,2000
272,Ellendale Dr,6000,6500
273,Ellendale Dr,6500,7000
274,Elm Ln,10000,10500
275,Elm Ln,10500,11000
276,Emerywood Dr,1000,1500
277,Emerywood Dr,1500,2000
278,Eneida Sue Dr,5000,5500
279,Eneida Sue Dr,5500,6000
280,English Dr,2000,2500
281,English Dr,2500,3000
282,Erwin Ridge Ave,11000,11500
283,Erwin Ridge Ave,11500,12000
284,Executive Center Dr,5000,5500
285,Executive Center Dr,5500,6000
286,Fairdale Dr,2000,2500
287,Fairdale Dr,2500,3000
288,Fairstone Ave,2000,2500
289,Fairstone Ave,2500,3000
290,Fairview Rd,6000,6500
291,Fairview Rd,6500,7000
292,Fairvista Dr,5000,5500
293,Fairvista Dr,5500,6000
294,Farmfield Ln,1000,1500
295,Farmfield Ln,1500,2000
296,Farmhurst Dr,100,600
297,Farmhurst Dr,600,1100
298,Fernwood Dr,7000,7500
299,Fernwood Dr,7500,8000
300,Fielding Rd,100,600
301,Fielding Rd,600,1100
302,Firelight Ln,5000,5500
303,Firelight Ln,5500,6000
304,Fisher's Farm Ln,6000,6500
305,Fisher's Farm Ln,6500,7000
306,Flagstaff Dr,5000,5500
307,Flagstaff Dr,5500,6000
308,Freedom Dr,2000,2500
309,Freedom Dr,2500,3000
310,Freedom Dr,3000,3500
311,Freedom Dr,3500,4000
312,Frew Rd,3000,3500
313,Frew Rd,3500,4000
314,Galloway Rd,2000,2500
315,Galloway Rd,2500,3000
316,Galway Dr,5000,5500
317,Galway Dr,5500,6000
318,General Commerce Dr,6000,6500
319,General Commerce Dr,6500,7000
320,Glenfall Ave,3000,3500
321,Glenfall Ave,3500,4000
322,Green Hedge Ave,10000,10500
323,Green Hedge Ave,10500,11000
324,Greywood Dr,4000,4500
325,Greywood Dr,4500,5000
326,Griffith St,2000,2500
327,Griffith St,2500,3000
328,Habersham Pointe Cir,8000,8500
329,Habersham Pointe Cir,8500,9000
330,Hamilton Crk,4000,4500
331,Hamilton Crk,4500,5000
332,Hamlin Park Dr,2000,2500
333,Hamlin Park Dr,2500,3000
334,Hankins Rd,8000,8500
335,Hankins Rd,8500,9000
336,Harrisburg Rd,7000,7500
337,Harrisburg Rd,7500,8000
338,Harrisburg Rd,8000,8500
339,Harrisburg Rd,8500,9000
340,Harrisburg Rd,9000,9500
341,Harrisburg Rd,9500,10000
342,Harrisburg Rd,10000,10500
343,Harrisburg Rd,10500,11000
344,Hartford Ave,100,600
345,Hartford Ave,600,1100
346,Hawthorne Ln,100,600
347,Hawthorne Ln,600,1100
348,Heatherwood Ln,6000,6500
349,Heatherwood Ln,6500,7000
350,Hemphill St,2000,2500
351,Hemphill St,2500,3000
352,Hidden Forest Dr,6000,6500
353,Hidden Forest Dr,6500,7000
354,Highlake Dr,5000,5500
355,Highlake Dr,5500,6000
356,Hilo Dr,100,600
357,Hilo Dr,600,1100
358,Houston Branch Rd,3000,3500
359,Houston Branch Rd,3500,4000
360,Hunters Crossing Ln,6000,6500
361,Hunters Crossing Ln,6500,7000
362,I- 85 Svc Rd,2000,2500
363,I- 85 Svc Rd,2500,3000
364,I- 85 Svc Rd,3000,3500
365,I- 85 Svc Rd,3500,4000
366,I- 85 Svc Rd,4000,4500
367,I- 85 Svc Rd,4500,5000
368,I- 85 Svc Rd,5000,5500
369,I- 85 Svc Rd,5500,6000
370,Idlewild Rd,6000,6500
371,Idlewild Rd,6500,7000
372,Idlewild Rd,7000,7500
373,Idlewild Rd,7500,8000
374,Idlewild Rd,8000,8500
375,Idlewild Rd,8500,9000
376,Idlewild Rd,9000,9500
377,Idlewild Rd,9500,10000
378,J W Clay Blvd,8000,8500
379,J W Clay Blvd,8500,9000
380,Jackson Ave,100,600
381,Jackson Ave,600,1100
382,John Adams Rd,9000,9500
383,John Adams Rd,9500,10000
384,Johnston Rd,9000,9500
385,Johnston Rd,9500,10000
386,Johnston Rd,10000,10500
387,Johnston Rd,10500,11000
388,Johnston Rd,11000,11500
389,Johnston Rd,11500,12000
390,Johnston Rd,12000,12500
391,Johnston Rd,12500,13000
392,Jones St,100,600
393,Jones St,600,1100
394,Joyce Dr,5000,5500
395,Joyce Dr,5500,6000
396,Julia Ave,2000,2500
397,Julia Ave,2500,3000
398,Justice Ave,1000,1500
399,Justice Ave,1500,2000
400,Kelston Pl,1000,1500
401,Kelston Pl,1500,2000
402,Kenhill Dr,2000,2500
403,Kenhill Dr,2500,3000
404,Kennon St,1000,1500
405,Kennon St,1500,2000
406,Kestrel Ct,6000,6500
407,Kestrel Ct,6500,7000
408,Key St,100,600
409,Key St,600,1100
410,Kiev Dr,5000,5500
411,Kiev Dr,5500,6000
412,Kilborne Dr,2000,2500
413,Kilborne Dr,2500,3000
414,Kingville Dr,100,600
415,Kingville Dr,600,1100
416,Labeau Ave,14000,14500
417,Labeau Ave,14500,15000
418,Lagrande Dr,5000,5500
419,Lagrande Dr,5500,6000
420,Lansdale Dr,1000,1500
421,Lansdale Dr,1500,2000
422,Lasalle St,1000,1500
423,Lasalle St,1500,2000
424,Lasalle St,2000,2500
425,Lasalle St,2500,3000
426,Lawyers Rd,6000,6500
427,Lawyers Rd,6500,7000
428,Lawyers Rd,7000,7500
429,Lawyers Rd,7500,8000
430,Lawyers Rd,8000,8500
431,Lawyers Rd,8500,9000
432,Lawyers Rd,9000,9500
433,Lawyers Rd,9500,10000
434,Long Cove Dr,12000,12500
435,Long Cove Dr,12500,13000
436,Lucena St,2000,2500
437,Lucena St,2500,3000
438,Mallard Creek Rd,7000,7500
439,Mallard Creek Rd,7500,8000
440,Mallard Creek Rd,8000,8500
441,Mallard Creek Rd,8500,9000
442,Mallard Creek Rd,9000,9500
443,Mallard Creek Rd,9500,10000
444,Mallard Creek Rd,10000,10500
445,Mallard Creek Rd,10500,11000
446,Marney Ave,2000,2500
447,Marney Ave,2500,3000
448,Matheson Ave,1000,1500
449,Matheson Ave,1500,2000
450,Matheson Ave,2000,2500
451,Matheson Ave,2500,3000
452,Maywood Dr,3000,3500
453,Maywood Dr,3500,4000
454,McAllister Dr,2000,2500
455,McAllister Dr,2500,3000
456,Melshire Ln,3000,3500
457,Melshire Ln,3500,4000
458,Milton Rd,1000,1500
459,Milton Rd,1500,2000
460,Mnr,3000,3500
461,Mnr,3500,4000
462,Monroe Rd,3000,3500
463,Monroe Rd,3500,4000
464,Monroe Rd,4000,4500
465,Monroe Rd,4500,5000
466,Monroe Rd,5000,5500
467,Monroe Rd,5500,6000
468,Monroe Rd,6000,6500
469,Monroe Rd,6500,7000
470,Monroe Rd,7000,7500
471,Monroe Rd,7500,8000
472,Monroe Rd,8000,8500
473,Monroe Rd,8500,9000
474,Monroe Rd,9000,9500
475,Monroe Rd,9500,10000
476,Monteith Dr,6000,6500
477,Monteith Dr,6500,7000
478,Moores Chapel Rd,8000,8500
479,Moores Chapel Rd,8500,9000
480,Moray Ct,1000,1500
481,Moray Ct,1500,2000
482,Morning Dr,3000,3500
483,Morning Dr,3500,4000
484,Morrison Bv,6000,6500
485,Morrison Bv,6500,7000
486,Mounting Rock Rd,6000,6500
487,Mounting Rock Rd,6500,7000
488,Mullens Ford Rd,4000,4500
489,Mullens Ford Rd,4500,5000
490,N,100,600
491,N,600,1100
492,N Caldwell St,100,600
493,N Caldwell St,600,1100
494,N Caldwell St,1100,1600
495,N Caldwell St,1600,2100
496,N Cedar St,100,600
497,N Cedar St,600,1100
498,N Church St,100,600
499,N Church St,600,1100
500,N College St,100,600
501,N College St,600,1100
502,N Davidson St,100,600
503,N Davidson St,600,1100
504,N Davidson St,1100,1600
505,N Davidson St,1600,2100
506,N Davidson St,2100,2600
507,N Davidson St,2600,3100
508,N Graham St,100,600
509,N Graham St,600,1100
510,N Graham St,1100,1600
511,N Graham St,1600,2100
512,N Graham St,2100,2600
513,N Graham St,2600,3100
514,N Graham St,3100,3600
515,N Graham St,3600,4100
516,N Graham St,4100,4600
517,N Graham St,4600,5100
518,N Graham St,5100,5600
519,N Graham St,5600,6100
520,N I - 85 Svc Rd,1000,1500
521,N I - 85 Svc Rd,1500,2000
522,N I - 85 Svc Rd,2000,2500
523,N I - 85 Svc Rd,2500,3000
524,N Poplar St,100,600
525,N Poplar St,600,1100
526,N Sharon Amity Rd,100,600
527,N Sharon Amity Rd,600,1100
528,N Sharon Amity Rd,1100,1600
529,N Sharon Amity Rd,1600,2100
530,N Sharon Amity Rd,2100,2600
531,N Sharon Amity Rd,2600,3100
