,wlane,wolane,WoEScore
K: Killed,10,152,-13.209171719246196
B: Evident Injury,181,2924,-7.117635544084948
A: Disabling Injury,21,343,-6.017913560217585
Unknown Injury,12,198,-5.002676413815787
O: No Injury,40,670,-3.4988886773617334
C: Possible Injury,143,2773,11.145327031117782
