recordid,latitude,longitude,state
e21d67b3d3b5727b3850270ffca7ad95800ac779,-81.32010339,35.33229689,north carolina
5a9fd8f3ff8ace08f0be6eb57d4c180dd3dfd3c8,-80.80210323,35.21946688,north carolina
1832e0f741928ebc14e8eae981d60a0e5bdaa978,-79.81550296,35.70556702,north carolina
aa0fbe0f4bb46f7ae6264d3dcadac3c43e73b023,-77.8792023,34.23129677,north carolina
a78246fa48d6c71c72af05830219bd13ceb577aa,-78.69890261,35.37403699,north carolina
64ae9caa1e3da5a078ad8de926b2b77dae372db9,-77.78960236,35.92692714,north carolina
064b5c2d200a97695ed5757030bda1fae66774c2,-78.50500247,33.89194667,north carolina
358c970375658d5f8e401c22e8d0982b2fd99eba,-77.91530238,35.66792708,north carolina
31639e974737bc8d4b42f703843330db0200408e,-77.65700229,35.43974704,north carolina
4fe158b311c3199177f833ea2b39852e9c3bbb9d,-80.67880318,35.06807685,north carolina
0b6d8fccb40682d5b653f6e8b46c6dabb7ab2f9b,-78.87060269,35.99065712,north carolina
33c0c8a87913298b958a7a08b33be8b57758239e,-81.33470339,35.25230687,north carolina
9edb4ba2e6b83bf28b6aeea707ef4ab20cb2f1df,-77.94610238,35.39027702,north carolina
e27ddc44da7d2ccd00246105c972a0e93aa65593,-81.12950333,35.26012688,north carolina
9aa17db778358637d33d0d9b65be77f7ae251696,-75.69330172,36.06598724,north carolina
12f4a06052eb4944f0a4232c905c08a4da6d5743,-77.89680231,34.24334677,north carolina
d7d7e4297ee1c5b0199312ef44e28b263a5a948f,-81.20850335,35.26056688,north carolina
23bc8e1c4640a6d7401a9ffbf008f87fa696ee3e,-82.53290376,35.44607687,north carolina
1156d17931a2d65356c13f3494c749adf5c52ca8,-77.37060221,35.58581708,north carolina
6ddd7c840364ac80f1a417fd0754744c566a9e20,-78.40220257,36.33259721,north carolina
2003cdf3c7a45b5f4be32d5b870f0fd8ed1e6091,-77.7785023,34.92466692,north carolina
44edb6fe2df2fd1175832bf64c45df0b7fa32817,-79.79600292,35.10957689,north carolina
c2f1a90cd20be4e6fe7b760d3bfb8f2a2768d5ba,-76.29310192,36.37094729,north carolina
8b4e3f240406062d86b48d6fc6b82780b553bb75,-78.77400265,35.76696707,north carolina
5ca575747370407e602705f0a9127c27c02b9ad9,-78.71760262,35.59366704,north carolina
f65bfa1b38cc33e9e035e49d25802d33ee7bcc8b,-80.80490323,35.19979688,north carolina
c077b846747d7eb9184de3616222d0698a575820,-82.55180377,35.58652689,north carolina
b3ffe3917ed93e53d3d6f917f3d6b874d2723fd8,-80.05530304,35.88971705,north carolina
f2e2ab7d394a971b7218efe01e201d8aaeb4c32d,-77.98050239,35.38777702,north carolina
bab242534b80dd626e456e1ebe516e806a52e25b,-79.42360286,36.10777712,north carolina
fdfa3ed3c7b81fb23fa67cb455175c68ff5f208d,-78.92680266,35.08819692,north carolina
7e11ade51ec138a29511e295d62e01c804a49fcb,-78.64500261,35.78049708,north carolina
267c07465b9b331fe6809eb3d7249f417c0ef757,-80.7132032,35.17403688,north carolina
63cb68447064872ec67649bdf4bfaf6a9619f069,-79.80500298,36.0682871,north carolina
b29ddb25af41b3de55817bb3246d45c5a9e36bdd,-77.8771023,34.23084677,north carolina
c5c6e058528a2c6ddc6b978ea8569664d2a34c58,-78.90010265,35.0007369,north carolina
2f1da09ca4a0a31f40c4dab16692be565d5587f3,-79.92540302,36.14238711,north carolina
561bc3baf7226ec0f07f2aae5e4632b29fca92da,-81.68300355,36.21808706,north carolina
ab910d6a2501ada82083277a7aabd265177b4666,-80.6889032,35.35186691,north carolina
f268fd7cffe05211aae585607236bdefa98cc520,-77.91940239,35.71613709,north carolina
7d3c2fd7525fad7bd24dab266d5e82d2f9671b55,-81.55330345,35.18170685,north carolina
23174cbcdc449054ea29bf0ea8884b6ddd2f2818,-78.74400264,35.76120707,north carolina
f6bf358b1993550e128aca0cda4d5931bb7126cd,-79.03830274,36.03282712,north carolina
00b81350696ed292bad5a2723ab065ad54bc7718,-80.8489033,36.2398871,north carolina
adde13b58ae004985bdf77ea88c309dae60ba1b6,-79.80630298,36.0663971,north carolina
57b8fdac2da789823649e0fa93ed2abafdbe1fb6,-82.98590389,35.47385685,north carolina
8788c572059e9d6845b4415d54b1d1517c358a47,-79.52970282,34.69047681,north carolina
bf3579011dea6f8cb78ad847ed7cc4ad54ac65f8,-79.18850272,34.68436682,north carolina
eb12b9823d400975bad76668b61926d130ce81b3,-78.2453025,35.95259713,north carolina
0c23f5b70641b617507039c06bcb2d1163139ac4,-78.6148026,35.75482708,north carolina
53b125c2f760efea7addef98d985f8a09e5a1697,-80.7292032,35.10814686,north carolina
3bdd54535c6108c71f79e84fbb3bd49ba34bdbb5,-80.86350324,35.09559685,north carolina
e4e53b01d3c62d0f9e66ddeda7a6448302698f9a,-78.63860261,35.77210708,north carolina
390fef83162cd64907df0242d799dec7be8c1fbd,-79.79010297,36.0681971,north carolina
12803222e86510d1c46a473fb3c26bc8dfd598cb,-78.3103025,35.52002704,north carolina
34e06feaf5fd9ad1c2c5068a8241baaaaf9be105,-79.05880274,35.91318709,north carolina
5a68318d0ce95262e8fd704781398b09b9e2be55,-80.84173324,35.19974088,north carolina
962ff60088f24758f52a1a16982f720de35f472a,-76.63813195,34.73167392,north carolina
e04c197664bf0bd3d0d18b582fa5eb85c68cb138,-77.0585821,35.163247,north carolina
aab666fdfc1e90e7ae7c5f0a11199d554520843d,-79.01362269,35.06543291,north carolina
b5211f1dd4d8b89d4f6ef8417121b8e5b363bc1d,-79.72214796,36.15201512,north carolina
9526dee149892661864ff88bce8312d964dfc67d,-80.83773323,35.13050686,north carolina
962b6a85efffcdbb9325cb031b4c8a432bc5a6e0,-78.77872765,35.73474106,north carolina
86309ee5152d19659f29dfd08179fb82de89fb2d,-83.77230411,35.28970978,north carolina
4a0f89c09d6ccb668dfab6f1986776ad60195466,-78.9106167,35.95993411,north carolina
cd3d702619d868fffcd089ce6a4738c5d783571e,-78.64643261,35.76881008,north carolina
2c41a4c1b743b87d4d1a1d0fbf1b73c155add625,-77.92921639,35.72462409,north carolina
dbcea3f362607846304a511a576c116fb64de834,-77.77644236,35.94465714,north carolina
e7ebabfce29f0ab960d189bccb2acdbd1cc61646,-81.0427283,35.25141488,north carolina
e0132c5180986721f6d9a86c2b696922969d5cc1,-80.66659317,34.86828681,north carolina
edd29f19121620d96f1de61eec4186d26c58968c,-78.95754271,35.88777109,north carolina
4c2d272c6160c52d48ff15c7b082294ed7d91000,-78.97323268,35.16522894,north carolina
48e7b4d26a85d9d87b29c47b76ffd0728a310498,-79.19180273,34.98241689,north carolina
887b382eaa66ca5695fca646eeefabf6d714f89e,-79.00249272,35.74225706,north carolina
561a8e9d1b7cf41276a05db997305f5f6762b932,-78.52399659,36.04485714,north carolina
dc735e206a000e698f023eb1f880c5fc410eeb4f,-76.2264269,36.30163727,north carolina
b6e1fc6660c0a296ca1a190eac290fb462cfc6a8,-77.05154611,35.54721008,north carolina
399c7a8bd7d2490494f80349468ce9b15d4f2e51,-80.61317719,35.48114294,north carolina
75f8df106d6a4d272cafd36d9d5f158c7aa65ea5,-76.24921589,35.91809719,north carolina
fa35a1967dea8aa128fb6a210db74959c264af75,-80.86365824,35.08762685,north carolina
22987e9fc4b6f2c6cfa1eabb3bbc18391b0f8460,-82.49084874,35.41767686,north carolina
0cddacbed92bf4282283c563aa9339fcaa4cc52f,-80.42898914,35.686037,north carolina
c9d1417bca3bbdf4fe643ab85d507fdb0c9e1285,-77.79632827,34.20804877,north carolina
d6009f11e27ee7f8f8939cf7adb971d55bf5e08e,-79.19141672,34.67821382,north carolina
7c1b1a68fe41724ad0f924552aca14210ae004ae,-77.82563237,35.86505413,north carolina
7e4cd46de1bbb217ee594e2d7fbc5c71d96585ba,-82.16419364,35.30467885,north carolina
20744f0592236707919f13907357b9c37b93eee9,-78.6248326,35.76785708,north carolina
6feb1e2324312df88991cfd4ad97ddd078d110ca,-78.99883268,34.97903389,north carolina
a8580db0aa5ef8dfa3788935bcb021929e48c27b,-79.05743673,35.73888306,north carolina
f6d1ccde94d54a20ad9b4414f0bc5f2fb7cfa2ff,-82.51475876,35.55902689,north carolina
a34a87b112c1d49e4ae4afcac37b25df91ccad3d,-77.05657209,35.12136399,north carolina
1d1e9f97b03f371d89db7f19737d0d3a04746b36,-80.2050891,36.1576971,north carolina
711fc8b5d69203808d79e50e31ceb61aad64807c,-78.6074326,35.79439108,north carolina
aa8cd8acfbfac08ed8b814455c06995d6bd3dfe6,-81.0366773,35.29192289,north carolina
d9e8582dd2fb67e9947faef5c137af512c376bf1,-79.05267276,36.35390719,north carolina
f0b6cb7ef0957b4e8765a284676b40437d200943,-78.6181426,35.77205708,north carolina
7b45d38948c608973812e306ef34e2a9a4723d9f,-79.97986302,35.96031707,north carolina
4618ab7ffcb91ca62067d6e18df26b5774577d2f,-78.37984752,35.66394706,north carolina
ae5556e35822847534aa08846b0dc3866a5751dc,-80.64617317,35.04707285,north carolina
6718bdf45630cf3893c98c8ef5c477697028277e,-77.92293731,34.20242676,north carolina
cdb6c64d7d80cb4146a2f834b2acaae17db3d597,-76.75670198,34.72687691,north carolina
a2429eb1666706f142647dd95f638c0d6035090d,-80.72710321,35.24787689,north carolina
9183640f9e7937e9d42d4be7f268dc2d412c4545,-80.43120316,35.97574706,north carolina
ccd98b1996599c19f642c6815aa8c4f7c6a0567b,-78.99450266,34.61683682,north carolina
8427fc6081bfa2aadda19d67c82cd982277ce4f7,-77.84840229,34.25384677,north carolina
4871f9837ff0c65e211704d8353d177b00e7ff9d,-77.90070235,35.13931697,north carolina
d4501dce490dfd6bf07fc82efcf63128e75e8b8a,-79.39880286,36.08987712,north carolina
2281f43781c5d677a7b24795dd7f149d660d1702,-77.02410206,34.66712689,north carolina
a7ce3e8f344f2cb1810733a1ba0e56d3b3fe2670,-77.06340207,34.65924689,north carolina
18ee720245bee7978eab73151ed7447fc37842c2,-77.83700237,35.93578714,north carolina
da6da9fb24087173134ea8b62fc387d047ee6552,-79.02470273,35.9254371,north carolina
103b186674f6cba72b3887a24eb03e15fd21b605,-78.92430271,35.99720712,north carolina
81df18d849462c657122e47842db34590683a4a1,-81.16940339,36.12883706,north carolina
a547e46f9ad3e4b1449912b5e00dd867bcb3699a,-80.97050327,35.11284685,north carolina
bbd06cb3d356cbfb48e7d0a479f22cfe614cc3ed,-79.42260279,34.67905681,north carolina
e7cfb4f9a90e5e03cd7c17accd654c8a30f78536,-75.81140177,36.31304729,north carolina
7b7bb79162850df5106e1e7f5931d925537c4284,-76.65440195,34.72617692,north carolina
4e8bb4e569ad3223fb7e85ac3b51370afae8890c,-81.22680337,35.52638693,north carolina
e31b9844310d77c5c68a643f30af1d8d55011d24,-77.78320236,35.94228714,north carolina
643856f5abcddbe86e808a36c9dbed2a7ea21d41,-78.64660261,35.83646709,north carolina
d56e8704f5fba3c5b72bdaf739231244595c7e61,-80.78400323,35.2810869,north carolina
6c129132df443f5c0d22d2ad0e376f0533c942ba,-80.09930306,35.88133705,north carolina
2c8d33cacae765480a56fb16a46cd6b33a0d53af,-80.60390319,35.50068695,north carolina
f9ad9b25cf0fe00c6f1773898330517a37f7f203,-77.4744022,34.7556669,north carolina
6fb64b9445eb0784046baf4e1d063194831d0f9b,-80.80290323,35.3192369,north carolina
0b393d910ea9ee464687b8869aed6d616a77f04c,-79.09070275,35.9419871,north carolina
85ed2366ff761d29fd1163ce38b50a767c43799d,-77.8676023,34.26168677,north carolina
798e357db1416a7fba5595389d218d1aedb3b8f1,-76.807702,34.73851691,north carolina
c0a6ce75774895a1d47e45a2aee081edf88e35d7,-78.86570269,35.99197712,north carolina
e7ec30f8263ca5cccee4adabe4ebac078538fcd5,-79.56820291,36.15523713,north carolina
9b504daae7bc3545fe6ac14663526879576d51c4,-77.94210232,34.21678676,north carolina
dd2d5e053286a30099d00cd43e3b5880a0091294,-78.9028027,36.03257712,north carolina
6947ef3ed895d63ed6f2d1583414e289d6221c92,-79.1267027,34.71905683,north carolina
e60aeaa28f6cef458117cd208af0417f69809cc5,-78.68830262,35.78359708,north carolina
